中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
27.50.49.96,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.70,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.103,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.49.75,443,0.0.0.0,CN,San Jose,官方,181 ms,null Mbps,null kB/s
27.50.49.97,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.85,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
27.50.49.84,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.49.83,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.86,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.49.94,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.49.95,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.91,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
27.50.49.107,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.106,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.49.111,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.49.68,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.104,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
27.50.49.120,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.98,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.93,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.110,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.101,443,0.0.0.0,CN,San Jose,官方,183 ms,null Mbps,null kB/s
27.50.49.124,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.49.105,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.49.112,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.49.119,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.49.113,443,0.0.0.0,CN,San Jose,官方,164 ms,null Mbps,null kB/s
27.50.49.108,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
27.50.49.89,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.118,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
27.50.49.123,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.116,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.109,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.49.114,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.127,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.115,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.52,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.143,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.135,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.49.138,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.49.134,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.122,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.49.129,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.126,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.144,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.141,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.100,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.154,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.71,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.125,443,0.0.0.0,CN,San Jose,官方,1188 ms,null Mbps,null kB/s
27.50.49.140,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.152,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.151,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.49.132,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.128,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
27.50.49.150,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.49.160,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.148,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.49.121,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.155,443,0.0.0.0,CN,San Jose,官方,167 ms,null Mbps,null kB/s
27.50.49.142,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.49.117,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.49.163,443,0.0.0.0,CN,San Jose,官方,169 ms,null Mbps,null kB/s
27.50.49.133,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.136,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.149,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.137,443,0.0.0.0,CN,San Jose,官方,142 ms,null Mbps,null kB/s
27.50.49.165,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.130,443,0.0.0.0,CN,San Jose,官方,1173 ms,null Mbps,null kB/s
27.50.49.139,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.147,443,0.0.0.0,CN,San Jose,官方,174 ms,null Mbps,null kB/s
27.50.49.162,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.49.174,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.168,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.49.156,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.169,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.153,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.185,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.161,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
27.50.49.166,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.49.164,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.172,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.178,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.179,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.131,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.183,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.189,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.192,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.200,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.197,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.49.157,443,0.0.0.0,CN,San Jose,官方,184 ms,null Mbps,null kB/s
27.50.49.201,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.184,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.187,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.49.210,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.176,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.195,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.171,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.190,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.49.208,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.205,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.49.193,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
27.50.49.188,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.209,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.216,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.49.170,443,0.0.0.0,CN,San Jose,官方,170 ms,null Mbps,null kB/s
27.50.49.211,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.186,443,0.0.0.0,CN,San Jose,官方,1182 ms,null Mbps,null kB/s
27.50.49.180,443,0.0.0.0,CN,San Jose,官方,183 ms,null Mbps,null kB/s
27.50.49.181,443,0.0.0.0,CN,San Jose,官方,1182 ms,null Mbps,null kB/s
27.50.49.177,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.204,443,0.0.0.0,CN,San Jose,官方,163 ms,null Mbps,null kB/s
27.50.49.199,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.212,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.217,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.194,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.198,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.167,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.146,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.159,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.49.219,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.49.145,443,0.0.0.0,CN,San Jose,官方,143 ms,null Mbps,null kB/s
27.50.49.214,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.224,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.203,443,0.0.0.0,CN,San Jose,官方,185 ms,null Mbps,null kB/s
27.50.49.232,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.221,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.229,443,0.0.0.0,CN,San Jose,官方,152 ms,null Mbps,null kB/s
27.50.49.223,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.218,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.236,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.207,443,0.0.0.0,CN,San Jose,官方,1193 ms,null Mbps,null kB/s
27.50.49.235,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
27.50.49.175,443,0.0.0.0,CN,San Jose,官方,1161 ms,null Mbps,null kB/s
27.50.49.242,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.227,443,0.0.0.0,CN,San Jose,官方,161 ms,null Mbps,null kB/s
27.50.49.158,443,0.0.0.0,CN,San Jose,官方,166 ms,null Mbps,null kB/s
27.50.49.243,443,0.0.0.0,CN,San Jose,官方,148 ms,null Mbps,null kB/s
27.50.49.225,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.251,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
27.50.49.233,443,0.0.0.0,CN,San Jose,官方,172 ms,null Mbps,null kB/s
27.50.49.252,443,0.0.0.0,CN,San Jose,官方,154 ms,null Mbps,null kB/s
27.50.49.202,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.250,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.213,443,0.0.0.0,CN,San Jose,官方,165 ms,null Mbps,null kB/s
27.50.49.240,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.246,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
27.50.49.231,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
27.50.49.249,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
103.175.14.144,443,103.175.14.144,HK,Hong Kong,中转,41 ms,26 Mbps,3454 kB/s
27.50.49.238,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.248,443,0.0.0.0,CN,San Jose,官方,146 ms,null Mbps,null kB/s
27.50.49.244,443,0.0.0.0,CN,San Jose,官方,156 ms,null Mbps,null kB/s
27.50.49.230,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.226,443,0.0.0.0,CN,San Jose,官方,160 ms,null Mbps,null kB/s
129.226.116.46,443,129.226.116.46,HK,Hong Kong,中转,149 ms,1 Mbps,194 kB/s
27.50.49.220,443,0.0.0.0,CN,San Jose,官方,1184 ms,null Mbps,null kB/s
18.162.97.34,443,18.162.97.34,HK,Hong Kong,中转,126 ms,6 Mbps,870 kB/s
27.50.49.245,443,0.0.0.0,CN,San Jose,官方,149 ms,null Mbps,null kB/s
27.50.49.228,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
27.50.49.254,443,0.0.0.0,CN,San Jose,官方,171 ms,null Mbps,null kB/s
27.50.49.173,443,0.0.0.0,CN,San Jose,官方,158 ms,null Mbps,null kB/s
27.50.49.253,443,0.0.0.0,CN,San Jose,官方,168 ms,null Mbps,null kB/s
27.50.49.234,443,0.0.0.0,CN,San Jose,官方,182 ms,null Mbps,null kB/s
43.159.196.17,443,43.159.196.17,HK,Hong Kong,中转,149 ms,1 Mbps,129 kB/s
116.204.210.10,443,116.204.210.10,HK,Hong Kong,中转,48 ms,0 Mbps,110 kB/s
27.50.49.239,443,0.0.0.0,CN,San Jose,官方,144 ms,null Mbps,null kB/s
27.50.49.241,443,0.0.0.0,CN,San Jose,官方,159 ms,null Mbps,null kB/s
27.50.49.247,443,0.0.0.0,CN,San Jose,官方,151 ms,null Mbps,null kB/s
27.50.49.102,443,0.0.0.0,CN,San Jose,官方,192 ms,null Mbps,null kB/s
116.204.210.11,443,116.204.210.11,HK,Hong Kong,中转,45 ms,25 Mbps,3264 kB/s
27.50.49.237,443,0.0.0.0,CN,San Jose,官方,145 ms,null Mbps,null kB/s
74.48.72.207,443,2607:f130:0:ee:ff:ff:5040:cb4e,US,Los Angeles,隧道,172 ms,76 Mbps,9732 kB/s
74.48.85.50,443,2607:f130:0:105:216:3cff:fe80:6d6d,US,Los Angeles,隧道,158 ms,93 Mbps,11980 kB/s
142.171.9.13,443,142.171.9.13,US,Los Angeles,中转,166 ms,67 Mbps,8592 kB/s
129.146.248.140,443,129.146.248.140,US,Los Angeles,中转,164 ms,64 Mbps,8197 kB/s
107.172.98.6,443,2001:470:c:30a::2,US,Los Angeles,隧道,169 ms,22 Mbps,2830 kB/s
192.9.159.65,443,192.9.159.65,US,San Jose,中转,161 ms,2 Mbps,307 kB/s
129.146.254.39,443,2603:c020:9:e483:690:2c88:ed7a:3091,US,Los Angeles,隧道,165 ms,42 Mbps,5485 kB/s
192.237.192.175,443,72.32.4.100,US,Dallas,隧道,184 ms,0 Mbps,45 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,177 ms,106 Mbps,13619 kB/s
27.50.49.196,443,0.0.0.0,CN,San Jose,官方,173 ms,null Mbps,null kB/s
103.172.134.143,443,103.172.134.143,HK,Hong Kong,中转,434 ms,3 Mbps,491 kB/s
204.216.218.114,443,204.216.218.114,IT,Zurich,中转,274 ms,22 Mbps,2871 kB/s
130.61.176.29,443,130.61.176.29,DE,Frankfurt,中转,235 ms,9 Mbps,1187 kB/s
192.210.213.192,443,192.210.213.192,US,Atlanta,中转,213 ms,26 Mbps,3442 kB/s
152.70.234.188,443,152.70.234.188,KR,Tokyo,中转,63 ms,26 Mbps,3388 kB/s
173.249.197.84,443,2607:9000:8000:22:216:3cff:fe75:fe05,US,San Jose,隧道,168 ms,105 Mbps,13516 kB/s
146.190.114.215,443,2604:a880:4:1d0::340:a000,US,San Jose,隧道,162 ms,54 Mbps,6974 kB/s
130.162.184.173,443,130.162.184.173,GB,London,中转,214 ms,1 Mbps,215 kB/s
27.50.49.222,443,0.0.0.0,CN,San Jose,官方,155 ms,null Mbps,null kB/s
43.199.36.32,443,43.199.36.32,HK,Hong Kong,中转,229 ms,0 Mbps,8 kB/s
146.190.155.154,443,2604:a880:4:1d0::5bc:f000,US,San Jose,隧道,149 ms,39 Mbps,5092 kB/s
130.61.83.37,443,130.61.83.37,DE,Frankfurt,中转,237 ms,1 Mbps,198 kB/s
173.249.207.151,443,2607:9000:8000:22:216:3cff:fe5e:bc07,US,San Jose,隧道,157 ms,95 Mbps,12185 kB/s
130.61.97.75,443,98.98.166.174,AE,Frankfurt,隧道,226 ms,20 Mbps,2604 kB/s
74.48.140.177,443,2607:f130:0:f0::6a5,US,Los Angeles,隧道,1188 ms,98 Mbps,12595 kB/s
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,47 ms,1 Mbps,156 kB/s
143.198.130.24,443,143.198.130.24,US,San Jose,中转,152 ms,2 Mbps,262 kB/s
24.199.115.220,443,24.199.115.220,US,San Jose,中转,149 ms,59 Mbps,7555 kB/s
27.50.48.255,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
154.211.8.30,443,0.0.0.0,CN,San Jose,官方,179 ms,null Mbps,null kB/s
8.218.87.104,443,8.218.87.104,HK,Hong Kong,中转,40 ms,48 Mbps,6244 kB/s
154.211.8.58,443,0.0.0.0,CN,San Jose,官方,157 ms,null Mbps,null kB/s
27.50.49.206,443,0.0.0.0,CN,San Jose,官方,153 ms,null Mbps,null kB/s
27.50.49.191,443,0.0.0.0,CN,San Jose,官方,150 ms,null Mbps,null kB/s
194.156.99.2,443,194.156.99.2,CN,Hong Kong,中转,306 ms,22 Mbps,2817 kB/s
103.172.135.188,443,103.172.135.188,HK,Hong Kong,中转,319 ms,20 Mbps,2607 kB/s
194.156.99.186,443,194.156.99.186,CN,Hong Kong,中转,311 ms,22 Mbps,2839 kB/s
129.146.133.33,443,129.146.133.33,US,Los Angeles,中转,167 ms,79 Mbps,10137 kB/s
64.23.181.202,443,2604:a880:4:1d0::2e3:5000,US,San Jose,隧道,162 ms,62 Mbps,8004 kB/s
192.18.159.129,443,192.18.159.129,CA,Toronto,中转,0 ms,4 Mbps,526 kB/s
154.211.8.26,443,0.0.0.0,CN,San Jose,官方,147 ms,null Mbps,null kB/s
192.9.250.241,443,192.9.250.241,US,,中转,0 ms,1 Mbps,230 kB/s
103.160.204.144,443,0.0.0.0,CN,San Jose,官方,162 ms,null Mbps,null kB/s
144.22.252.124,443,144.22.252.124,BR,S